Sage code:

E = EllipticCurve([-13392,-1080432])
for i in srange(1000):
    if i.is_prime():
        x = E.Np(i)
        print(i,x)

Result:

2 5
3 5
5 5
7 10
11 11
13 10
17 20
19 20
23 25
29 30
31 25
37 35
41 50
43 50
47 40
53 60
59 55
61 50
67 75
71 75
73 70
79 90
83 90
89 75
97 105
101 100
103 120
107 90
109 100
113 105
127 120
131 150
137 145
139 130
149 160
151 150
157 165
163 160
167 180
173 180
179 195
181 175
191 175
193 190
197 200
199 200
211 200
223 205
227 210
229 215
233 210
239 270
241 250
251 275
257 260
263 250
269 260
271 300
277 280
281 300
283 280
293 270
307 300
311 300
313 315
317 305
331 325
337 360
347 320
349 320
353 375
359 380
367 385
373 400
379 385
383 385
389 405
397 400
401 400
409 440
419 400
421 400
431 450
433 445
439 400
443 455
449 415
457 470
461 450
463 475
467 495
479 460
487 465
491 500
499 480
503 530
509 495
521 525
523 540
541 550
547 540
557 560
563 560
569 570
571 600
577 545
587 560
593 550
599 560
601 600
607 630
613 630
617 600
619 645
631 625
641 675
643 615
647 655
653 695
659 650
661 625
673 660
677 720
683 700
691 675
701 700
709 735
719 705
727 725
733 770
739 690
743 740
751 775
757 780
761 750
769 750
773 780
787 820
797 745
809 810
811 850
821 800
823 785
827 880
829 805
839 845
853 840
857 850
859 875
863 840
877 890
881 925
883 880
887 910
907 920
911 900
919 910
929 960
937 930
941 900
947 975
953 920
967 1000
971 925
977 1005
983 945
991 1000
997 960
